Voltage(V),SoE (%)
3.992388,84.63634278
3.992219,84.62132475
3.992059,84.60632835
3.991923,84.59135359
3.991876,84.57633556
3.991749,84.56133916
3.991666,84.54638604
3.99146,84.53134636
3.991285,84.51636079
3.991162,84.50134275
3.990932,84.48632471
3.990825,84.47130668
3.990613,84.4563752
3.990425,84.44131388
3.990201,84.42632831
3.990048,84.41144011
3.989858,84.39637879
3.989724,84.3813824
3.98956,84.3664401
3.989369,84.35147616
3.989212,84.3365014
3.98909,84.32146173
3.98898,84.30645451
3.988817,84.29144729
3.988806,84.27648336
3.988607,84.2615627
3.988457,84.24654466
3.988291,84.23154826
3.988123,84.21656269
3.987956,84.20155547
3.987864,84.18658071
3.987586,84.17159514
3.987412,84.15662038
3.987138,84.14171054
3.987049,84.12671414
3.986829,84.11172857
3.986663,84.09673217
3.98654,84.08176823
3.986374,84.06681512
3.98619,84.05182954
3.986073,84.03687642
3.985927,84.02190166
3.985796,84.00687281
3.98576,83.99190887
3.985586,83.97695575
3.985437,83.96191608
3.985223,83.9469846
3.985097,83.93200984
3.98498,83.9171
3.984833,83.90209279
3.98452,83.88706393
3.984371,83.87218655
3.984091,83.8571577
3.983946,83.84220458
3.983806,83.82725146
3.983632,83.81229834
3.983518,83.79724785
3.98337,83.78230555
3.983142,83.76734161
3.982974,83.75235604
3.98292,83.7373921
3.982774,83.72252554
3.982624,83.70748586
3.982575,83.69254357
3.982449,83.67760127
3.982223,83.66257241
3.9821,83.64767339
3.981933,83.632677
3.981791,83.61766978
3.981644,83.60274912
3.981408,83.58782847
3.981215,83.57287535
3.980975,83.55785731
3.980778,83.54293665
3.98061,83.528016
3.980456,83.51298714
3.98029,83.49806648
3.980198,83.48312418
3.980042,83.46821435
3.979809,83.45325041
3.979759,83.43826483
3.979672,83.42331172
3.979575,83.40834778
3.979409,83.39344876
3.97928,83.37845236
3.9791,83.36348843
3.978917,83.34851367
3.978746,83.33356055
3.978602,83.31868317
3.978407,83.3036976
3.978171,83.2887012
3.977977,83.2738671
3.977767,83.25890316
3.977623,83.24395005
3.977471,83.22899693
3.977275,83.21397889
3.97716,83.19911233
3.976943,83.18417004
3.976842,83.1692061
3.976748,83.1543179
3.97667,83.13926741
3.976558,83.12441167
3.976361,83.10948019
3.976257,83.09449461
3.976094,83.0795415
3.975937,83.06466412
3.975718,83.04972182
3.975574,83.03480116
3.975271,83.01979395
3.975124,83.00484083
3.974901,82.98997427
3.974803,82.97499951
3.974581,82.9601005
3.974479,82.94520148
3.974305,82.93022672
3.974065,82.91529524
3.974016,82.90036377
3.973927,82.88539983
3.973755,82.87046835
3.973696,82.85553687
3.973528,82.8406054
3.973374,82.82569556
3.97321,82.81076408
3.973073,82.7958867
3.972902,82.78090113
3.972747,82.76595883
3.972606,82.75112473
3.972274,82.73614997
3.972137,82.72120768
3.971931,82.70628702
3.9718,82.69140964
3.971551,82.67652144
3.971424,82.66151422
3.971361,82.64662603
3.971134,82.63166209
3.970955,82.61679553
3.9709,82.60185323
3.970753,82.58695422
3.970708,82.57196864
3.970541,82.55710208
3.970394,82.54214896
3.970215,82.52735815
3.97008,82.51240503
3.969894,82.49751683
3.96974,82.48258535
3.969532,82.46758896
3.969217,82.45271158
3.969074,82.4378342
3.968915,82.42285944
3.968772,82.40797125
3.968649,82.39301813
3.968506,82.37812993
3.968278,82.36318763
3.968128,82.34829943
3.967937,82.3334437
3.967893,82.31846894
3.967898,82.30359156
3.967718,82.28871418
3.967488,82.27381517
3.967393,82.25885123
3.967236,82.24396303
3.967027,82.22906401
3.966904,82.21420827
3.966755,82.1992227
3.966477,82.18435614
3.966261,82.16947876
3.966052,82.1546122
3.965953,82.13963745
3.965835,82.12476007
3.965615,82.10988269
3.965458,82.09500531
3.965285,82.08004138
3.965114,82.06514236
3.965014,82.0502758
3.964947,82.03543088
3.964818,82.02046694
3.964678,82.00560039
3.964517,81.99073383
3.9644,81.97576989
3.96424,81.96083841
3.964011,81.9459935
3.963902,81.93113776
3.963693,81.91626038
3.963434,81.90133972
3.963224,81.88647316
3.963112,81.87161743
3.962931,81.85663185
3.962749,81.84171119
3.96259,81.82684463
3.962409,81.81203217
3.962333,81.7971007
3.962139,81.78213676
3.96207,81.7673784
3.961977,81.75242528
3.961839,81.73755873
3.961662,81.72264889
3.961521,81.70771741
3.96139,81.69292659
3.961185,81.67808167
3.961034,81.66312856
3.960887,81.64828364
3.960755,81.63333052
3.960392,81.61851806
3.960234,81.60366232
3.960041,81.58874167
3.959905,81.57382101
3.959786,81.55895445
3.959614,81.54415281
3.959464,81.52922133
3.959256,81.51432232
3.959119,81.49946658
3.959112,81.48465412
3.958997,81.469701
3.958842,81.45485608
3.958698,81.44003281
3.95856,81.42509051
3.95835,81.41028887
3.958201,81.39535739
3.958047,81.38051247
3.95786,81.36560264
3.957641,81.35081182
3.957423,81.33583706
3.957198,81.3210246
3.957103,81.3061905
3.956963,81.29133477
3.956862,81.27643575
3.956635,81.26159083
3.956422,81.24667017
3.956305,81.23184689
3.956141,81.2169046
3.956125,81.2020705
3.956008,81.18726886
3.955861,81.17236984
3.955703,81.1575682
3.955571,81.14260427
3.955392,81.12781345
3.955217,81.11289279
